YearID,Year,Teams,URL
1,1901,,https://www.baseball-almanac.com/yearly/yr1901a.shtml
2,1906,"Chicago, Cleveland, New York, Philadelphia, Washington",https://www.baseball-almanac.com/yearly/yr1906a.shtml
3,1907,"Chicago, Detroit, Philadelphia, Washington",https://www.baseball-almanac.com/yearly/yr1907a.shtml
4,1909,"Chicago, Detroit, Philadelphia",https://www.baseball-almanac.com/yearly/yr1909a.shtml
5,1910,"Boston, Detroit, New York, Philadelphia",https://www.baseball-almanac.com/yearly/yr1910a.shtml
6,1911,"Boston, Cleveland, Detroit, Philadelphia",https://www.baseball-almanac.com/yearly/yr1911a.shtml
7,1913,"Philadelphia, Washington",https://www.baseball-almanac.com/yearly/yr1913a.shtml
8,1914,"Boston, New York, Philadelphia",https://www.baseball-almanac.com/yearly/yr1914a.shtml
9,1915,"Detroit, New York",https://www.baseball-almanac.com/yearly/yr1915a.shtml
10,1917,"Chicago, Cleveland, Detroit, New York",https://www.baseball-almanac.com/yearly/yr1917a.shtml
11,1918,"Cleveland, Philadelphia, Washington",https://www.baseball-almanac.com/yearly/yr1918a.shtml
12,1919,"Chicago, Cleveland, Detroit, New York",https://www.baseball-almanac.com/yearly/yr1919a.shtml
13,1920,"Chicago, Cleveland, New York, St. Louis, Washington",https://www.baseball-almanac.com/yearly/yr1920a.shtml
14,1922,"Cleveland, Detroit, Philadelphia, St. Louis",https://www.baseball-almanac.com/yearly/yr1922a.shtml
15,1923,,https://www.baseball-almanac.com/yearly/yr1923a.shtml
16,1927,"Cleveland, Detroit, New York",https://www.baseball-almanac.com/yearly/yr1927a.shtml
17,1928,,https://www.baseball-almanac.com/yearly/yr1928a.shtml
18,1929,,https://www.baseball-almanac.com/yearly/yr1929a.shtml
19,1930,,https://www.baseball-almanac.com/yearly/yr1930a.shtml
20,1931,,https://www.baseball-almanac.com/yearly/yr1931a.shtml
21,1932,"Cleveland, Detroit, New York, Philadelphia, Washington",https://www.baseball-almanac.com/yearly/yr1932a.shtml
22,1933,,https://www.baseball-almanac.com/yearly/yr1933a.shtml
23,1934,,https://www.baseball-almanac.com/yearly/yr1934a.shtml
24,1936,"Cleveland, New York, Washington",https://www.baseball-almanac.com/yearly/yr1936a.shtml
25,1937,,https://www.baseball-almanac.com/yearly/yr1937a.shtml
26,1939,,https://www.baseball-almanac.com/yearly/yr1939a.shtml
27,1941,"Boston, Chicago, Cleveland, New York, St. Louis",https://www.baseball-almanac.com/yearly/yr1941a.shtml
